name,red,green,blue,alpha,id
W_6x_Window_Large_A,110,222,2,255,10
LCD_Screen_1,227,69,3,255,4
Floor_12x1,143,171,0,255,0
W_6x_DoorDouble,110,222,2,255,10
Couch_3seat,10,179,8,255,7
Cylinder,110,222,2,255,10
Lamp_Spot,110,222,2,255,10
Lamp_SpotBulb,110,222,2,255,10
Cell_Shelf,60,106,7,255,8
Recessed,255,255,255,255,3
tesse_cube,80,138,10,255,6
Missing,255,255,255,255,3
